0#[0, 1, 2, 3, 4, 5, 6, 7, 8]
21000000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
2100000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10010010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
11010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
3#[0, 1, 2, 3, 4, 5, 6, 7, 8]
200001000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
210000000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
110000010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100101#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100001010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1000200#[0, 1, 2, 3, 4, 5, 6, 7, 8]
21000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10010001#[0, 1, 2, 3, 4, 5, 6, 7, 8]
12#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10000020#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100011000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
110000001#[0, 1, 2, 3, 4, 5, 6, 7, 8]
11001000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100110#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10002#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10000011#[0, 1, 2, 3, 4, 5, 6, 7, 8]
110100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
21#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10000002#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10011#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100001001#[0, 1, 2, 3, 4, 5, 6, 7, 8]
30#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10100100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
110010000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1002000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
20001#[0, 1, 2, 3, 4, 5, 6, 7, 8]
20010000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10020#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100002000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1001001#[0, 1, 2, 3, 4, 5, 6, 7, 8]
120000000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
20010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
201000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
300#[0, 1, 2, 3, 4, 5, 6, 7, 8]
101001000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
20000001#[0, 1, 2, 3, 4, 5, 6, 7, 8]
30000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
2100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1011000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10020000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
20000010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1001010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100000200#[0, 1, 2, 3, 4, 5, 6, 7, 8]
200001#[0, 1, 2, 3, 4, 5, 6, 7, 8]
101000001#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1000011#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100110000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
30000000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
200010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1101#[0, 1, 2, 3, 4, 5, 6, 7, 8]
200100000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1000002#[0, 1, 2, 3, 4, 5, 6, 7, 8]
101000010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
210000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1100100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10001100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
101010000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
20000100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1010010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1110#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100100001#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1000020#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10200000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
11100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100100010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
111000000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1010001#[0, 1, 2, 3, 4, 5, 6, 7, 8]
11000001#[0, 1, 2, 3, 4, 5, 6, 7, 8]
102#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100200#[0, 1, 2, 3, 4, 5, 6, 7, 8]
110000100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10010100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
11000010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1020000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
111#[0, 1, 2, 3, 4, 5, 6, 7, 8]
102000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10101#[0, 1, 2, 3, 4, 5, 6, 7, 8]
2001000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10000110#[0, 1, 2, 3, 4, 5, 6, 7, 8]
11010000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
120#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10000101#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10110#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100101000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100010100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
11000100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1001100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
20100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
101001#[0, 1, 2, 3, 4, 5, 6, 7, 8]
2010000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
200000100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100000101#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10101000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
20100000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1200000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
101010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
2000010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
102000000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
111000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100000110#[0, 1, 2, 3, 4, 5, 6, 7, 8]
2000001#[0, 1, 2, 3, 4, 5, 6, 7, 8]
101000100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1000110#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100002#[0, 1, 2, 3, 4, 5, 6, 7, 8]
200100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10110000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1000101#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100011#[0, 1, 2, 3, 4, 5, 6, 7, 8]
110100000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1200#[0, 1, 2, 3, 4, 5, 6, 7, 8]
110001#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10100010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100020#[0, 1, 2, 3, 4, 5, 6, 7, 8]
12000000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
3000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100200000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
100001100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
1010100#[0, 1, 2, 3, 4, 5, 6, 7, 8]
110010#[0, 1, 2, 3, 4, 5, 6, 7, 8]
201000000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10100001#[0, 1, 2, 3, 4, 5, 6, 7, 8]
120000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10002000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
201#[0, 1, 2, 3, 4, 5, 6, 7, 8]
11100000#[0, 1, 2, 3, 4, 5, 6, 7, 8]
10000200#[0, 1, 2, 3, 4, 5, 6, 7, 8]
